nombre,poblacion,superficie,continente
Argentina,46735004,3761274,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Nigeria,206139589,923768,África
Australia,25687041,7692024,Oceanía
Canadá,38005238,9984670,América
Rusia,143534000,17098246,Asia
China,1416216107,9596960,Asia
Estados unidos,331002651,9833517,América
India,1380004385,3287263,Asia
Kazajistán,19691858,2724900,Asia
Argelia,46814000,2381741,África
Arabia saudita,35300000,2149690,Asia
México,129500000,1964375,América
Indonesia,276361783,1904569,Asia
Irán,86738000,1648195,Asia
Perú,33726000,1285216,América
Sudáfrica,63200000,1219090,África
Colombia,52000000,1141748,América
Egipto,105174090,1001450,África
Tanzania,66600000,947300,África
Venezuela,28405543,916445,América
Pakistán,225199937,881913,Asia
Chile,19629590,756102,América
Francia,68042591,643800,Europa
España,48085361,505400,Europa
Italia,58990000,301300,Europa
Bangladesh,166303498,144000,Asia
Malta,57346,316,Europa
